Order Reference	Order Reference	Order Date	Customer	Salesperson	Activities	Company	Total	Invoice Status
invoiced (689)							3,187,231.312	
VSO/2601347		2026-02-26 13:16:46	Customer Via Pet Central	Hafnas Nasar		Velocity International Trading LLC	76.472	Fully Invoiced
VSO/2601282	Order #10457193	2026-01-27 10:53:23	Haiwanati Pets Trading LLC	Finance		Velocity International Trading LLC	168.000	Fully Invoiced
VSO/2601197	INSTA CASH ORDER 12/1/2026	2026-01-26 14:51:54	Customer Via Instashop	Finance		Velocity International Trading LLC	79.542	Fully Invoiced
VSO/2601153	INSTA ORDER 11/1/2026	2026-01-26 14:50:13	Customer Via Instashop	Finance		Velocity International Trading LLC	3,074.785	Fully Invoiced
VSO/2601267	INSTA ORDER 21/1/2026	2026-01-26 14:41:33	Customer Via Instashop	Finance		Velocity International Trading LLC	1,232.067	Fully Invoiced
VSO/2601269	INSTA ORDER 23/1/2026	2026-01-26 14:39:17	Customer Via Instashop	Finance		Velocity International Trading LLC	919.290	Fully Invoiced
VSO/2601270	INSTA ORDER  24/1/2026	2026-01-26 14:36:49	Customer Via Instashop	Finance		Velocity International Trading LLC	757.074	Fully Invoiced
VSO/2601268	INSTA ORDER 22/1/2026	2026-01-26 13:54:45	Customer Via Instashop	Finance		Velocity International Trading LLC	1,120.121	Fully Invoiced
VSO/2601265	INSTA ORDER 20/1/2026	2026-01-26 13:46:58	Customer Via Instashop	Finance		Velocity International Trading LLC	1,552.073	Fully Invoiced
VSO/2601263	INSTA ORDER  19/1/2026	2026-01-26 13:46:24	Customer Via Instashop	Finance		Velocity International Trading LLC	1,139.058	Fully Invoiced
VSO/2601261	17/1/2026 INSTA ORDER	2026-01-26 13:44:57	Customer Via Instashop	Finance		Velocity International Trading LLC	1,212.484	Fully Invoiced
VSO/2601237	INSTA ORDER 15/1/2025	2026-01-26 13:40:25	Customer Via Instashop	Finance		Velocity International Trading LLC	1,560.986	Fully Invoiced
VSO/2601199	INSTA ORDER 14/1/2026	2026-01-26 13:36:48	Customer Via Instashop	Finance		Velocity International Trading LLC	2,664.836	Fully Invoiced
VSO/2601196	INSTA ORDER 12/1/2026	2026-01-26 13:34:16	Customer Via Instashop	Finance		Velocity International Trading LLC	1,429.999	Fully Invoiced
VSO/2601122	INSTA ORDER 9/1/2026	2026-01-26 13:04:03	Customer Via Instashop	Finance		Velocity International Trading LLC	914.566	Fully Invoiced
VSO/2601279	Amazon 21.01.2026 to 24.01.2026	2026-01-26 13:00:55	Customer Via Amazon	Hafnas Nasar		Velocity International Trading LLC	36,217.316	Fully Invoiced
VSO/2601277	INABA Additional Items	2026-01-26 11:38:25	Transnet General Trading LLC	Hafnas Nasar		Velocity International Trading LLC	10,493.664	Fully Invoiced
VSO/2601275	Order #10457181	2026-01-26 11:06:21	Pet Zone LLC	Hafnas Nasar		Velocity International Trading LLC	10,894.800	Fully Invoiced
VSO/2601274	Order #10457180	2026-01-26 11:01:24	Pet First Veterinary Clinic	Hafnas Nasar		Velocity International Trading LLC	393.750	Fully Invoiced
VSO/2601273	Order #10457179	2026-01-26 10:58:56	Luxury Pets Grooming LLC	Finance		Velocity International Trading LLC	1,474.179	Fully Invoiced
VSO/2601272	Order #10457178	2026-01-26 10:53:50	Pets Lounge Pets Grooming LLC	Hafnas Nasar		Velocity International Trading LLC	4,794.405	Fully Invoiced
VSO/2601271	Order #10457167	2026-01-26 10:50:31	The Pet Shack Animal Accessories Trading LLC	Hafnas Nasar		Velocity International Trading LLC	2,362.500	Fully Invoiced
VSO/2601266	INSTA CASH ORDER 21/1/2026	2026-01-24 17:30:35	Customer Via Instashop	Finance		Velocity International Trading LLC	151.854	Fully Invoiced
VSO/2601264	INSTA CASH ORDER  20/1/2026	2026-01-24 17:08:47	Customer Via Instashop	Finance		Velocity International Trading LLC	137.754	Fully Invoiced
VSO/2601260	Manual Order	2026-01-24 10:40:45	The Pet Stop Trading LLC	Hafnas Nasar		Velocity International Trading LLC	1,069.950	Fully Invoiced
VSO/2601259	Order #10457164	2026-01-24 10:05:52	Smart Pets Aquatic & Live animals Trading	Finance		Velocity International Trading LLC	1,653.750	Fully Invoiced
VSO/2601258	Order #10457165	2026-01-24 10:03:29	Pet Magnet	Finance		Velocity International Trading LLC	948.528	Fully Invoiced
VSO/2601257	Order #10457166	2026-01-24 09:58:28	The Pet Stop Trading LLC	Hafnas Nasar		Velocity International Trading LLC	860.475	Fully Invoiced
VSO/2601255	Order #10457163	2026-01-23 13:41:35	Haiwanati Pets Trading LLC	Finance		Velocity International Trading LLC	157.500	Fully Invoiced
VSO/2601254	Order #10457161	2026-01-23 10:44:18	AL DAHIBA FOR THE MILLING AND FEED TRADE	Finance		Velocity International Trading LLC	1,223.775	Fully Invoiced
VSO/2601253	Order #10457144	2026-01-23 10:33:23	Nine Tails Pets Grooming	Finance		Velocity International Trading LLC	1,987.692	Fully Invoiced
SHPAE_PC3325	PC3325	2026-01-22 18:50:55	Customer Via Pet Central			Velocity International Trading LLC	146.920	Fully Invoiced
SHPAE_PC3324		2026-01-22 18:04:06	Customer Via Pet Central			Velocity International Trading LLC	372.400	Fully Invoiced
VSO/2601233	Shopify 19-01-2026	2026-01-22 17:41:10	Customer Via Pet Central	Finance		Velocity International Trading LLC	2,550.220	Fully Invoiced
VSO/2601195	Shopify 15-01-2026	2026-01-22 17:24:53	Customer Via Pet Central	Finance		Velocity International Trading LLC	4,656.110	Fully Invoiced
VSO/2601192	Shopify 14-01-2026	2026-01-22 17:16:35	Customer Via Pet Central	Finance		Velocity International Trading LLC	3,785.250	Fully Invoiced
VSO/2601252	Shopify 21-01-2026	2026-01-22 17:05:39	Customer Via Pet Central	Finance		Velocity International Trading LLC	4,053.810	Fully Invoiced
SHPAE_PC3322		2026-01-22 17:05:31	Customer Via Pet Central			Velocity International Trading LLC	118.800	Fully Invoiced
VSO/2601245	Shopify 20-01-2026	2026-01-22 16:41:13	Customer Via Pet Central	Finance		Velocity International Trading LLC	3,644.710	Fully Invoiced
SHPAE_PC3320		2026-01-22 16:26:36	Customer Via Pet Central			Velocity International Trading LLC	251.600	Fully Invoiced
VSO/2601248	Amazon 19-01-2026 & 20-01-2026	2026-01-22 13:58:21	Customer Via Amazon	Finance		Velocity International Trading LLC	14,594.967	Fully Invoiced
VSO/2601242	287285144399083 /	2026-01-22 11:52:04	Bandidos Retail LLC	Finance		Velocity International Trading LLC	46,844.650	Fully Invoiced
SHPAE_PC3319		2026-01-22 11:47:09	Customer Via Pet Central			Velocity International Trading LLC	122.000	Fully Invoiced
SHPAE_PC3318		2026-01-22 11:43:05	Customer Via Pet Central			Velocity International Trading LLC	109.650	Fully Invoiced
VSO/2601239	Order #10457162	2026-01-22 10:39:16	Olga Cherkasova Pets Trading LLC	Finance		Velocity International Trading LLC	1,899.637	Fully Invoiced
